二、话术包：朋友圈 / 私域群 / 线下接待标准化话术
朋友圈话术（3 版，适配不同角色）
私域群话术（分阶段模板）
线下接待话术（分场景）

| 角色 | 角色 | 话术模板 |
| --- | --- | --- |
| 店长版（权威感） | 「[球房名] 正式成为杆杆响天梯赛认证主场！首赛季将于 X 月 X 日开杆，为球友打造专属竞技江湖：动态排名随时挑战，积分直接当钱花，月度冠军赢价值 5000 元球杆！欢迎各位球友扫码报名，一起冲击荣耀榜！# 杆杆响天梯赛 #台球竞技」（配报名启动版海报） | 「[球房名] 正式成为杆杆响天梯赛认证主场！首赛季将于 X 月 X 日开杆，为球友打造专属竞技江湖：动态排名随时挑战，积分直接当钱花，月度冠军赢价值 5000 元球杆！欢迎各位球友扫码报名，一起冲击荣耀榜！# 杆杆响天梯赛 #台球竞技」（配报名启动版海报） |
| 店员版（亲切感） | 「哥 / 姐，咱们店的杆杆响天梯赛要开啦！报名就送 1000 积分，打球赢了还能攒积分换饮料、台费，我已经帮你留好初始排名啦，扫码就能报名→」（配球员招募海报） | 「哥 / 姐，咱们店的杆杆响天梯赛要开啦！报名就送 1000 积分，打球赢了还能攒积分换饮料、台费，我已经帮你留好初始排名啦，扫码就能报名→」（配球员招募海报） |
| 种子选手版（号召力） | 「[球房名] 天梯赛首赛季开启，有没有敢来挑战的？赢了攒积分换球杆，还能上球房荣誉墙！我已经报名了，扫码跟我对战→」（配个人段位海报） | 「[球房名] 天梯赛首赛季开启，有没有敢来挑战的？赢了攒积分换球杆，还能上球房荣誉墙！我已经报名了，扫码跟我对战→」（配个人段位海报） |

| 运营阶段 | 话术模板 |
| --- | --- |
| 造势预热期 | 【江湖预告】各位球友，[球房名] 杆杆响天梯赛即将于 X 月 X 日开杆！动态排名、随时挑战、积分当钱花，还有月度球杆大奖！扫码进群锁定初始席位→[报名链接] |
| 报名启动期 | 【报名福利】线下报名天梯赛，到店即送冰红茶 1 瓶！线上报名扫码→[链接]，首 100 名送 1000 初始积分！名额有限，先到先得！ |
| 赛中运营期 | 【今日战报】恭喜 @张三 豪取 5 连胜，排名飙升 12 位，积分 + 80！有没有球友敢来挑战？约战直接 @我！【每周悬赏令】本周内战胜榜一 @李四，额外得 100 积分！速来约战！ |
| 赛季收官期 | 【赛季总结】首赛季完美收官！冠军 @王五 累计获得积分 5000，赢得价值 500 元球杆！新赛季将于 X 月 X 日开启，早鸟报名享双倍初始积分，扫码报名→[链接] |

| 场景 | 话术模板 |
| --- | --- |
| 新客到店 | 「您好，欢迎光临 [球房名]！咱们店现在有杆杆响天梯赛，打球赢积分可以换饮料、台费，扫码就能免费报名，要不要试试？」 |
| 熟客到店 | 「王哥，您上次天梯赛打到钻石段位了，今天要不要再来冲个大师？现在对战榜一还能得额外积分！」 |
| 犹豫客引导 | 「您可以先打一局体验赛，赢了就有积分，积分直接能换饮料，相当于打球还能免费喝饮料，特别划算！」 |
